a	art.一（人，事，物），每一，任何一
pat	Pat (狗名) , n.轻拍 v.轻抚 [同]tap
patch	n.补片，补丁，斑 vt.修补(衣服等的洞等)
patent	v.取得专利权
path	n.小路，路线，途径
patience	n.耐性，忍耐
patient	a.&amp;n.有耐心的，能忍耐的；病人，患者
patrol	n.巡逻队
patron	n.庇(保)护人; 赞助人
pattern	n.模式
pause	vi./n.暂停，中止
pay	v.&amp;n.付款，交纳；工资，薪饷
payment	n.付款
PC	个人计算机
peace	n.和平，平静
peaceful	a.平静的，安宁的；和平的，和平方式的
peak	n.顶峰；山峰
peanut	n.花生；[pl.]很少的钱
peasant	n.农夫
peel	n.(水果、蔬菜)皮 vi.剥落 vt.削去...的皮
peer	n.同等的人, 贵族
pen	n.笔；钢笔
penalty	n.惩罚
pencil	n.铅笔
pension	n.养老金；退休金；抚恤金
people	n.人
pepper	n.辣椒
per	prep.每，每一
perceive	vt.察觉，发觉；理解
percentage	n.百分比，百分率
perception	n.认识，看法；感知（能力），觉察
perfect	a.完美的
perfectly	ad.完美地，十分，非常
perform	vt.做，履行
performance	n.成绩
performer	n.演出者，表演者；履行者，执行者
perhaps	ad.也许，恐怕，大概
period	n.期间，一段时间
permanent	a.持久的；永久的
permission	n.允许，许可，同意
permit	v.允许，许可
Persian	n.波斯人
persist	vi.坚持，固执(in)；持续，存留
person	n.人
personal	a.私人的，个人的
personality	n.个性
personally	ad.亲自，当面；就个人而言；个别地
personnel	n.全体人员，全体职员
perspective	n.观点，看法
persuade	vt.说服，劝服；使相信 a.空闲的；有闲的
pet	n.爱畜；宠物；受宠爱的人
phase	n.阶段；时期
phenomenon	n.(phenomena)现象，迹象
philosophical	a.哲学家的；哲学(上)的
philosophy	n.哲学
phone	n.电话(机)；受话器，耳机 v.打电话
photo	n.相片
photograph	vt.给...拍照；拍摄 n.照片；相片
photographer	n.摄影师
photography	n.摄影，照相；摄影术
phrase	n.短语
physical	a.身体的；物质的；物理学的
physically	ad.身体上；实际上；按自然规律
physician	n.内科医生
physics	n.物理学
piano	n.钢琴
pick	v.摘；拾取
pickup	n.小卡车；轻型货车
picture	n.图画
pie	n.馅饼
piece	n.片
pig	n.猪，猪肉；猪一般的人(指肮脏，贪吃的人)
pile	n.堆
pill	n.药丸
pillow	n.枕头
pilot	n.机师；飞行员
pin	vt.(用大头针等)别住，钉住 n.大头针；别针
pine	n.松树；松木
pink	a.粉红色的，桃红色的 n.粉红色，桃红色
pioneer	n.先锋；开拓者
pipe	n.管子，导管；烟斗 vt.用管道输送
pistol	n.手枪
pit	n.(地面的)坑，洼；(田径场上的)沙坑
pitch	n.声音的高低，调子
pitcher	n.有柄水罐
pizza	n.意大利馅饼，比萨饼
place	n.地方
placement	n.放置，(人员的)安排
plain	n.简朴的
plaintiff	n.[律]原告
plan	v.&amp;n.计划，打算
plane	n.飞机
planet	n.行星
planner	n.计划者，计划制订者
planning	计划
plant	n.植物
plastic	a.塑料的 n.(pl.)塑料
plate	n.盘子
platform	n.月台
play	v.&amp;n.玩，游玩；演奏
player	n.运动员，做游戏的人；演员，演奏者
playoff	n.季后赛
plea	n.恳求
plead	vi.恳求
pleasant	a.令人愉快的，舒适的
please	vt.使喜欢；请
pleased	adj.满意的；高兴的
pleasure	n.愉快；乐趣
plenty	n.丰富，富裕；大量
plot	vt.绘图
plunge	v.投身于；纵身投入；一头扎入
plus	prep.加，加上 a.正的；附加的
PM	下午
pocket	n.衣袋
poem	n.诗
poet	n.诗人
poetry	n.诗篇，诗歌
point	n.点 v.指向；指出
poke	vt.戳，捅；摸索地走
pole	n.极(点)
police	n.警察 a.警察机关的
policeman	n.警察
policy	n.a method orplan for action 政策
political	a.政治的
politically	ad.政治上
politician	n.政治家; [贬]政客
politics	n.政治
poll	n.民意测验
pollution	n.污染
pond	n.池塘; 鱼塘
pool	n.池 vt.合伙
poor	a.穷；可怜的；低劣的，不好的
pop	n.现代流行风格（尤指音乐的）
popular	a.流行的；受欢迎的
popularity	n.普及，流行；名望，受欢迎
population	n.人口
porch	n.门廊
pork	n.猪肉
port	n.港口；端口
portfolio	n.（个人或公司所持有的）有价证券；公文包
portion	n.一部分；一份
portrait	n.肖像，照片
portray	vt.描绘；描写；描述
pose	vt.摆姿势, 佯装, 矫揉造作
position	n.位置 vt.安置
positive	a.无疑问的；确定的；肯定的；正面的
possess	vt.占有，拥有
possession	n.有，拥有；［常pl.］占有物；财产
possibility	n.可能(性)；可能的事
possible	a.可能的，做得到的
possibly	ad.可能地，也许；无论如何
post	n.&amp;v.邮政；邮寄，投寄
poster	n.招贴，海报
pot	n.罐；壶
potato	n.马铃薯
potential	n.潜力
potentially	ad.可能地，潜在地
pound	v.强烈打击
pour	vt.灌注
poverty	n.贫穷
powder	n.粉末，药粉；香粉，爽身粉；火药，炸药
power	n.握有大权的人物；有影响的机构；强国
powerful	a.强大的，有力的；有权力的
practical	a.实用的；实际的
practically	ad.实际上
practice	n.实践，实施；练习，实习
practitioner	n.开业者(尤指医生、律师等)
praise	n.表扬，称赞 v.表扬，赞扬
pray	vi.祈祷
prayer	n.祈祷，祷告；[常作prayers]祈祷仪式
preach	vt.宣讲，布道；鼓吹
precious	a.珍贵的
precise	a.精确的，严格的
precisely	ad.exactly, accurately
predator	n.食肉动物
predict	vt./vi.预言；预示
prediction	n.预言，预计；预报
prefer	vt.更喜欢；宁愿
preference	n.(for，to)偏爱；优先(权)
pregnancy	n.怀孕，怀孕期
pregnant	a.怀孕的，妊娠的
preliminary	adj.初步的，预备的
premise	n.前提；假设
premium	n.加付款；赠品a.高级的；售价高的
preparation	n.准备，预备
prepare	v.准备，预备
prescription	n.处方的药；处方，药方
presence	n.出席，到场
present	vt.赠送；提供
presentation	n.提出，呈递；介绍，报告
preserve	vt.保护；保存
presidency	n.总统(或校长)职务(职权，任期)；管辖
president	n.主席，总统，校长，总经理
presidential	a.总统(校长)的；总统(校长)职务的
press	Press n.新闻界 , v.按，压
pressure	n.压力，压强
presumably	ad.推测起来，大概
pretend	v.假装
pretty	a.漂亮，俊俏
prevail	vi.胜过；流行，盛行
prevent	vt.防止
prevention	n.阻止，妨碍，预防
previous	a.以前的
previously	ad.以前
price	n.价格
pride	n.骄傲；自豪
priest	n.牧师；教士；神父
primarily	ad.主要地
primary	a.首要的；最初的
prime	a.最初的，基本的；主要的；最好的
principal	a.主要的
principle	n.原理，原则；主义，信念
print	v.打印
prior	a.较早的，在前的
priority	n.优先考虑的事；优先(权)
prison	n.监狱
prisoner	n.囚犯；俘虏
privacy	n.私事，私生活；隐私；独处
private	a.私人的；私营的；秘密的，私下的
privately	ad.非公开的；在涉及私(个)人方面；秘密地
privilege	n.特权
prize	n.奖；奖品；奖金
pro	ad.从正面 n.赞成的意见；赞成者
probably	ad.很可能，大概，或许
problem	n.问题
procedure	n.程序
proceed	vi.(停顿后)继续进行
process	n.过程；制作法
processing	处理
processor	n.(农产品的)加工业者；(信息)处理机
proclaim	vt.宣告，宣布，声明；显示
produce	vt.生产；制造 n.农产品
producer	n.制片人
product	n.产品，产物
production	n.生产，产量
productive	a.多产的，富有的
productivity	n.生产率；丰饶，多产
profession	n.职业(尤指脑力劳动或受过专业训练的)
professional	a.职业的 n.以特定职业谋生的人
professor	n.教授
profile	n.人物简介；侧影 vt.写…的传略
profit	n.益处，利益
profound	a.深刻的，浑奥的
program	n.=programme计划；程序；节目 vt.编程序
programming	程序设计
progress	n.&amp;v.前进，进步，进展
progressive	a.(疾病等)愈来愈重的；向前的；进步的
prohibit	vt.禁止
project	n.项目；方案
projection	n.凸出物
prominent	a.突出的，显著的
promise	v.允诺；答应
promising	a.有希望的；有前途的
promote	vt.促进，发扬；提升，升级；发起，创办
promotion	n.促进；提升
prompt	vt.促进；激起
proof	n.证据，证明；校样
proper	a.适当，恰当
properly	ad.正确地，适当地；真正地
property	n.财产
proportion	n.比率，比例；大小
proposal	n.提议，建议
propose	v.提出，建议；提名，推荐
proposed	被提议的
prosecution	n.控方，代表原告的律师
prosecutor	n.起诉人；检察官，公诉人
prospect	n.期望中的事；展望；前景
protect	vt.保护
protection	n.保护
protective	a.给予保护的，防护的
protein	n.蛋白质
protest	vt./vi.抗议，反对
protocol	n.外交礼节；礼仪
proud	a.自豪的
prove	v.证明；原来
provide	v.供应
provided	conj.假如，若是
provider	n.供应者；提供者；养家糊口的人
province	n.省
provision	n.供应，供应品；条款，规定；给养
provoke	vt.激起，引起(感情、反应)
psychological	a.心理的
psychologist	n.心理学家
psychology	n.心理学；心理
public	n.公众
publication	n.公布；出版；出版物
publicity	n.宣传，广告
publicly	ad.公开地
publish	vt.出版，刊印；公布，发表
publisher	n.出版商，发行人
pull	v.&amp;n.拖；拉
pulse	n.脉搏
pump	vt.(用泵)抽水 n.泵
punch	vt.用拳猛击
punish	v.处罚，惩罚
punishment	n.惩罚
purchase	vt.买，购买 n.购买，购买的物品
pure	a.纯，纯洁；十足，完全
purple	n.紫色，紫红色 a.紫色
purpose	n.目的；打算
purse	n.钱包
pursue	vt.从事；忙于；继续
pursuit	n.追踪，追捕；追求，寻求；乐趣，消遣
push	vt./vi.推；按
put	v.放，置
puzzle	vt.使迷惑
qualify	v.(使)取得资格
quality	n.质量；品质
quantity	n.量, 数量
quarter	n.(都市的)区；街
quarterback	n.(橄榄球比赛中的)四分卫
queen	n.女王
quest	v.寻求，搜索，追求
question	n.问题 v.询问
questionnaire	n.问题单，调查表
quick	a.&amp;ad.快
quickly	ad.快地，急速；立刻地，马上
quiet	a.安静的
quietly	ad.安静地；轻声地；轻轻地
quit	v.离(职)，不干
quite	ad.十分；非常
quote	vt.引用，引述
rabbit	n.兔
race	n.属；人种
racial	a.种族的
racism	n.种族歧视，种族偏见；种族主义
rack	vt.猛力摇动
radar	n.雷达
radiation	n.放射，辐射；放射物
radical	a.根本的，基本的；激进的
radio	n.收音机
rage	vi.(烈火)熊熊燃烧；发怒；怒斥；季风
rail	n.栏杆
railroad	n.铁路
rain	vi.下雨
raise	vt.上升
rally	v.召集，团结 n.群众集会
ranch	n.大牧场，大农场
random	a./ad.胡乱的，任意的，随便的 n.无目标
range	n.范围 vt.(在一定范围内)变动 vi.论及
rank	n.排，行列；等级，地位
rape	vt.／n.强奸
rapid	a.迅速的
rapidly	ad.快速地，迅速地
rare	a.稀有的；杰出的
rarely	ad.很少，难得
rat	n.鼠
rate	n.率
rather	ad.有些，相当；宁可，宁愿
rating	n.等级，规格； (电视)收视率
ratio	n.比(率)
rational	a.理性的，合理的
raw	a.未煮过的，生的；未加工的
re	prep.关于
reach	v.&amp;n.伸手，够到，触到；到，到达
react	vi.反应
reaction	n.反应(力)，反作用(力)；反动，对抗
read	vt./vi.朗读；阅读
reader	n.读者
readily	ad.乐意地；很快地，容易地
reading	n.读；读物；(仪表盘上的)读数，指示数
ready	a.有准备的
real	a. 真，真实；实际的，现实的
realistic	a.现实的，实际的；现实主义的
reality	n.真实, 事实, 本体, 逼真
realize	v.认识到，体会到，实现
really	ad.确实，实在，真正地
realm	n.领域；王国
rear	n.&amp;a.后面（的），后部（的）
reason	n.理由，原因；理性
reasonable	a.合情理的，适度的
rebel	n.反叛者
rebuild	v.再建，改建；改造，使复原
recall	vt.记得；回忆起
receive	v.收到，接到；接待，接受
receiver	n.电视或收音机的接收器；电话听筒
recent	a.新近的，近来的
recently	ad.最近
reception	a.招待会
recession	n.(工商业的)衷退(期)，萧条(期)
recipe	n.烹饪法，食谱；方法，秘诀，诀窍
recipient	n.接受者，接收者
recognition	n.认出；承认，公认
recognize	v.认出，识别，承认
recommend	vt.建议；推荐
recommendation	n.推荐信；建议
record	n.档案 v.记录；录音
recording	n.录制(尤指广播，电视等)节目
recover	vi.恢复，痊愈 vt.重新获得；收回，挽回
recovery	n.痊愈；复得
recruit	vt./vi.征募(新兵)，吸收；补充 n.新成员
red	adj.红色的 n.红色
reduce	vt.减少；降低
reduction	n.减少，减小，缩减
refer	vi.(to)提到，涉及
reference	n.参考；涉及
reflect	v.反射(光、热、声等)；反映；表明
reflection	n.反映；(光、热、声等的)反射
reform	n.改革;改良;革除
refrigerator	n.冰箱
refuge	n.避难(所)，庇护(所)
refugee	n.流亡者，难民
refuse	v.拒绝，推辞
regain	v.收回；恢复(健康)
regard	vt.把…看作；把…认为(as)
regarding	prep.关于，在...方面
regardless	a.不论，不顾
regime	n.政体，政权；制度
region	n.地区，区域
regional	a.地区的，局部的
register	vt.取得，登记
regret	v.&amp;n.遗憾，懊悔，抱歉
regular	a.定时的，定期的；规则的
regularly	ad.整齐地，经常地，定期地
regulate	vt./n.管理；调节
regulation	n.规章；规则
regulator	n.调节器，校准器
regulatory	a.规章的；调节的
rehabilitation	n.康复；(罪犯的)改造
reinforce	vt.加强
reject	vt.拒绝
relate	vi.有关联 vt.讲述；使互相关联
related	a.有关的，相关的(to)；有亲戚关系的
relation	n.亲属，亲戚；关系，联系
relationship	n.关系，联系
relative	a.有关系的，相对的，比较而言的
relatively	ad.比较而言；相对地
relax	v.放松；休息
release	n./vt.释放；发布，发行；放开，松开
relevant	a.有关的，贴切的
reliability	n.可靠性
reliable	a.可靠的，可信赖的
relief	n.救济
relieve	vt.减轻
religion	n.宗教；宗教信仰
religious	a.宗教的
reluctant	a.不愿意的，勉强的
rely	vi.依赖；信任；信赖
remain	v.剩下，余留；保持，仍是
remaining	a.剩余的
remark	vt./vi.说，评论，议论 n.评论，看法
remarkable	a.显著的；非凡的
remember	v.回忆起；记得
remind	v.提醒，使想起(of)
reminder	n.提醒者，提醒物；暗示，提示
remote	a.遥远的，细微的
removal	n.移动；迁移；除掉；排除
remove	v.排除，消除，去掉；摘掉
render	vt.致使，使成
rent	n.租金 vt.租用；出租
rental	a.租来的 n.租金
repair	v.&amp;n.修理
repeat	v.重复，重说，重做，反复说
repeatedly	ad.反复地
replace	vt.把…放回(原处)；更换，以…替代
replacement	n.复位，复职；替换，代替
reply	n.&amp;v.答复，回答
report	v.&amp;n.报告，汇报，报道
reportedly	ad.据报道，据传闻，根据传说
reporter	n.记者
represent	vt.代表；象征；体现
representation	n.描写，表现；代表，代理
representative	n.代表，代表人 a.典型的，有代表性的
republic	n.共和国
Republican	Republican a.&amp;n.共和党的;共和党人 , a.共和国的；共和党的 n.共和党党员
republican	Republican a.&amp;n.共和党的;共和党人 , a.共和国的；共和党的 n.共和党党员
reputation	n.声誉，声望；名声；好名声
request	vt.请求
require	v.需要；要求
required	必需
requirement	n.要求；必要条件
rescue	vt. save from danger 拯救，营救，挽救
research	n.研究，调查 vi.调查，研究
researcher	n.研究者，调查者，探索者
resemble	vt.类似于，象
reservation	n.保留；保留意见；预订的席位(或住处等)
reserve	vt.保留；预订 n.保留；储备；禁猎区
residence	n.住所；住宅；公馆
resident	n.居民
residential	a.(市镇的)居住的；住宅区的
resign	v.辞去
resist	vt.抵抗, 反抗, 抗, 忍得住
resistance	n.抵抗；抵制；抵抗力
resolution	n.决心，坚定；决定
resolve	vt.解决
resort	v.求助于，诉诸于
resource	n.资源
respect	v.&amp;n.尊敬；尊重
respectively	ad.各自地，分别地
respond	vi.回答，答复；响应，有反应(to)
respondent	n.被告
response	n.作答，回答；响应，反应
responsibility	n.责任，责任心；职责，义务
responsible	a.应负责的，有责任的
rest	n.&amp;v.(使)休息，(使)睡眠
restaurant	n.餐馆
restore	vt.使恢复，(使)回复
restrict	vt.限制，约束
restriction	n.限制；约束
result	n.结果，成果，成绩
resume	n.摘要，梗概；个人简历
retail	n.零售；零卖
retailer	n.零售商
retain	v.记住
retire	vi.退出
retired	adj.退休的
retirement	n.退休
retreat	vi.退缩；退却，撤退
return	v.&amp;n.回来；归还
reveal	vt.揭露
revelation	n.揭示，暴露
revenue	n.收入；收益
reverse	n.相反，背面
review	n.&amp;vt.回顾；复习
revolution	n.革命
revolutionary	a.革命（性）的；重大变革的
reward	n./vt.酬劳，奖赏；报答
rhetoric	n.修辞(艺术)；修辞学
rhythm	n.节奏
rib	n.肋骨
ribbon	n.(缎或丝)带，带状物
rice	n.稻，米
rich	a.富有的
rid	vt.使摆脱，使去掉
ride	v.骑；乘
rider	n.骑手，骑车人
ridge	n.山脊，山脉；屋脊
ridiculous	a.荒谬的，可笑的；荒唐的
rifle	n.步枪
right	Right a.好的，行 , adj.正确的，右的
rim	n.(圆形物体的)边，缘vt.绕...边缘
ring	v.&amp;n.敲钟，打铃；铃声，钟声；(打)电话
riot	n.暴乱
rip	v.撕裂或拉破
rise	vi.升起；发源；起立
risk	n.风险，危险 vt.冒…的风险；使遭受危险
risky	a.有风险的
ritual	n.仪式，典礼 a.仪式的，典礼的
rival	n.对手；敌手
river	n.江，河
road	n.路，道路，途径
robot	n.机器人；自动控制装置
rock	n.岩石 v.摇摆
rocket	n.火箭
rod	n.杆，棒条
role	n.角色；作用
roll	v.绕，卷
rolling	a.绵延起伏的
Roman	Roman n.罗马人 a.罗马的；罗马人的；拉丁的 , n.古罗马人 a.罗马的
romance	n.浪漫文学，浪漫故事
romantic	a.浪漫的；幻想的
roof	n.屋顶
room	n.房间
root	v.(使)生根；(使)固定
rope	n.绳，索
rose	n.玫瑰
rough	a.粗糙的；粗野的；粗略的，大致的
roughly	ad.粗略地，概略地
round	a.圆的 ad.在周围 prep.围绕着 n.一圈
route	n.路线；航线
routine	a.常规的，例行的
routinely	ad.通常
row	v.划(船桨等)，荡桨
royal	a.皇家的；王室的
rub	n.摩擦；疑难点
rubber	n.橡皮；橡胶
ruin	v.破产
rule	n.规则；惯例
ruling	n.裁决
rumor	n.谣言；传闻
run	v.奔，跑，逃跑；流，淌
runner	n.赛跑者
running	n.跑，赛跑；竞选
rural	a.(像)乡村的；有乡村(生活)特点的
rush	v.冲击
Russian	Russian a.俄罗斯(人/语)的 n.俄语，俄罗斯(人) , n. 俄语
sack	n.袋；解雇；床 vt.解雇；掠夺
sacred	a.神圣的
sacrifice	n.牺牲 vt.牺牲
sad	adj.难过的；悲伤的
safe	a.安全；牢靠
safely	ad.安全地，平安地；确切地，没错地
safety	n.安全
sail	n.帆；风车翼板 v.航行，乘船旅行；启航
sake	n.理由；目的；缘故；利益
salad	n.色拉
salary	n.工资 vt.[常用被动语态]给…发薪
sale	n.出售，卖；廉价出售
sales	n.展销；廉价销售
salmon	n.鲑鱼
salt	n.盐；经验丰富的老水手 vt.腌制
same	adj.同样地；一样的
sample	n.样品，标本 vt.从…抽样
sanction	vt.同意，批准，认可
sand	n.沙，(pl.)沙滩
sandwich	n.三明治
satellite	n.(人造)卫星
satisfaction	n.满意，满足
satisfy	v.满足，使满意
sauce	n.调味汁，沙司
save	vt.救助，搭救；储蓄，积攒；节省
saving	n.节省，节约；(pl.)储蓄金，存款
say	v.说
scale	n.刻度，表度；规模；比例(尺)；天平
scan	vt.细看，审视；浏览，粗看；扫描
scandal	n.丑行；丑事；丑闻
scare	v.惊吓
scared	a.害怕
scary	a.令人害怕的
scatter	vt.撒播；使散开，驱散 vi.分散，消散
scenario	n.事情发展的概述
scene	n.景色，景象
scent	n.气味；臭迹，线索；香水vt.嗅到
schedule	n.时间表
scheme	n.计划；方案 vt./vi.计划，策划
scholar	n.学者
scholarship	n.学识，学术成就；奖学金
school	n.学校，学院
science	Science 科技课 , n ．科学；学科
scientific	a.科学的
scientist	n.科学家
scope	n.(活动，影响能力等的)范围
score	n.得分；乐谱 v.得(分) vt.为…配乐
scramble	n.爬行，攀爬
scratch	v.抓；擦；乱涂
scream	v.尖声叫
screen	n.银幕；屏幕
screening	n.上映，放映；筛选，资格审查，选拔
screw	n.螺丝钉
script	n.手迹；手稿
sculpture	n.雕塑
sea	n.海，海洋
seal	n.印，图章
search	v.&amp;n.搜索，寻找，探查
season	n.赛季
seat	n.座位
second	num.第二 a.第二的 n.秒
secondary	a.第二位的，次要的；中等的
secret	a.&amp;n.秘密的，机密的；秘密，奥秘
secretary	Secretary 部长 , n.秘书
section	n.(文章等的)段落；节；部分
sector	n.部分，部门
secular	a.现世的，世俗的；非宗教的
secure	a.安全的
security	n.安全
see	v.看见
seed	n.种子
seek	v.寻找
seem	vi.像是
seemingly	ad.表面地；近乎真实地
segment	n.切片，部分；段，节
seize	v.抓住
seldom	ad.很少
select	vt./vi.选择，挑选，选拔 a.精选的
selected	a.精选的
selection	n.挑选
self	n.自己
self-esteem	n.自尊
sell	v.卖
seller	n.卖者；销售物
seminar	n.专题讨论会；短期强化课程
Senate	senate n.参议院，议会，最高立法机构 , n.参议院，议会，最高立法机构
senator	n.参议员，上议员
send	vt.寄送
senior	a.&amp;n.（大学）四年级的（学生）
sensation	n.感觉能力；感觉；(引起)轰动的事件(人)
sense	n.见识 vt.理解
sensitive	a.敏感的；灵敏的，感光的
sensitivity	n.敏感性；灵敏度
sensor	n.传感器；探测设备；感觉器(官)
sentence	n.句子
sentiment	n.感情，情绪；感伤
separate	a.分离的，分开的 v.分离，分开
separation	n.分开，分类；分隔
sequence	n.顺序；连续；一连串
series	n.一系列，连续；丛书，套；［电］串联
serious	a.严肃的
seriously	ad.严肃地；认真地；严重地
servant	n.仆人
serve	v.服务，尽责；侍候，招持
service	n.服务 v.保养
session	n.会议；(从事某项活动的)一段时间
set	v.&amp;n.放，安置；(太阳)落山；接收机
setting	n.环境，背景；调节(点)，(舞台等的)布景
settle	v.定居；安排 n.长凳
settlement	n.定居；移民，殖民；殖民地；居留地
seven	num.七
seventh	num.第七
several	a.几个
severe	a.严重的；严肃的
severely	ad.严厉地，苛刻地
sex	n.性；性别
sexual	a.性的；性
sexuality	n.性生活；性别
sexually	ad.在性方面
sexy	a.性感的
shade	n.荫，阴影 vt.遮蔽，遮光
shadow	n.影子，阴影
shake	v.&amp;n.摇动；颤动
shall	v.aux.将
shallow	adj.浅的
shame	n.害羞
shape	n.&amp;v.形状，外形；形成，成形
share	vt./vi.共同使用；分享
shareholder	n.股东
shark	n.鲨鱼；勒索者，诈骗者，放高利贷的人
sharp	n.高调 a.锐利的
sharply	ad.严厉地
she	pron.她
shed	vt.摆脱，去除
sheep	n.羊，绵羊
sheer	a.完全的，十足的，透明的；陡峭的，垂直的
sheet	n.片
shelf	n.(壁橱，书橱内)搁板；架子
shell	n.壳，英，炮弹，外壳
shelter	n.躲避处，掩蔽部；牲畜棚
shift	n.班；轮班
shine	v.发光，照耀；使发光，擦亮
ship	n.船
shirt	n.衬衫
shit	n.讨厌的家伙；粪便 int.胡说
shock	vt.使(某人)震惊
shoe	n.鞋
shoot	v.射击
shooting	n.开枪，射杀
shop	n.&amp;v.商店，店铺；购物
shopping	n.买东西，购物
shore	n.岸；海滨
short	adj.短的
shortage	n.不足，缺少，短缺
shortly	ad.不久，马上
shorts	n.短裤
short-term	a.短期的
shot	n.射击；弹丸，子弹；射门，投篮
should	v.aux.应该；将要
shoulder	n.肩，肩膀
shout	v.&amp;n.呼喊，呼叫；叫声
shove	vt.乱推；乱塞vi.用力推，挤n.猛推
show	show v.展示 n.外观 , 显示
shower	n.阵雨，暴雨
shrimp	n.(小)虾
shrink	vi.减少；变小
shrug	v.耸肩
shut	vi.关上
shuttle	n.航天飞机；梭子v.穿梭来回(运送)
shy	a.害羞的；胆怯的
sibling	n.兄弟（或姐妹），同胞
sick	n.病人 a.不舒服的
side	n.旁边
sidewalk	n.人行道
sigh	vi.叹气
sight	n.风景
sign	n.符号，标记，招牌
signal	n.信号
signature	n.签名；签字，签署
significance	n.意义，意味；重要性
significant	a.重大的
significantly	ad.有意义地，意味深长地；重大地
silence	n.&amp;v.寂静，沉静；使寂静，使沉默
silent	a.沉默的；寂静的
silk	n.丝绸
silly	a.愚蠢的
silver	n.银子
similar	a.类似的
similarity	n.相似，类似
similarly	ad.相似地，类似地
simple	a.简单的
simply	ad.仅，只；完全地；朴素地
simultaneously	ad.同时地
sin	n.(违背宗教等)罪(孽)，罪恶；过失，过错
since	conj.从…以后
sing	v.唱，唱歌，鸣叫
singer	n.歌唱家，歌手
single	a.单一的
sink	v.下落，下沉；坐下
sir	n.先生
sister	n.姐；妹
sit	v.坐；就座
site	n.地点，地基；场所
situation	n.形势，局面
six	num.六
sixth	num.第六
size	n.大小，尺寸；号码  v.按大小排列或分类
ski	n.滑橇 a.滑雪（用）的
skill	n.技巧，熟练
skilled	a.熟练的
skin	n.皮，皮肤
skip	vt.略过
skirt	n.裙子
skull	n.颅骨，脑壳
sky	n.天，天空
slam	vt.砰地关上
slap	vt.掴，掌击
slave	n.奴隶，苦工
slavery	n.奴隶制度；奴隶身份
sleep	v.睡觉
sleeve	n.袖子
slice	n.薄片 v.切，割
slide	v.(使)滑动
slight	a.微小的，轻微的
slightly	ad.稍微地
slip	vi.滑动，滑过；溜，溜走 vt.使滑动
slope	n.倾斜；斜面
slot	n.狭槽，口
slow	a.慢的
slowly	ad.慢慢地
small	a.小的
smart	Smart 斯马特 , a.漂亮的;聪明的;巧妙的 v.剧痛,刺疼
smell	v.闻
smile	n.&amp;v.微笑
smoke	n.烟
smooth	vt.把…弄平
snake	vt.用长铁丝通条疏通(管道)
snap	vt.厉声说
sneak	v.潜行，溜
snow	n./vi.雪；下雪
so	ad.因此
soak	v.湿透
soap	n.肥皂
soar	vi.翱翔; 剧增
so-called	a.所谓的，号称的
soccer	n.(美)英式足球
social	a.社会的
socially	ad.在社交方面，善于交际地
society	n.社会
sock	n.短袜
sodium	n.[化]钠
sofa	n.(长)沙发
soft	a.柔软，温柔，柔和
soften	v.缓和，减轻；变软，软化
softly	ad.柔软地，温和地
software	n.(计算机的)软件
soil	n.土壤，土地 vt.弄脏
solar	a.太阳的，太阳产生的；利用太阳光的
soldier	n.士兵
sole	a.唯一的
solely	ad.独自地，单独地
solid	n.固体
solution	n.解答，解决办法；溶解，溶液
solve	v.解决
some	a.&amp;pron.一些
somebody	pron.某人，有人 n.重要人物
someday	ad.有朝一日
somehow	ad.不知怎地；以某种方式
someone	pron.某人
something	pron.某事(物)
sometime	ad.在某一时刻
sometimes	ad.不时；有时
somewhat	ad.有点，稍微
somewhere	adv.到某处；在某处
son	n.儿子
song	n.歌曲
soon	adv.不久
sophisticated	a.老于世故的，高级的，尖端的
sorry	adj.抱歉的；对不起；遗憾的；难过的
sort	n.种类 vt.分类
soul	n.灵魂，心灵；精神，精力
sound	n.&amp;v.声音，声响；发声
soup	n.汤
source	n.(来)源；源头
south	south n.南，南部 , 南达科他州(美国)
southeast	n.东南(部) ad.朝东南方向 a.(朝)东南方的
southern	a.南的
southwest	n.西南 ad.在西南 a.向西南的；位于西南的
sovereignty	n.国家的主权，最高统治权
Soviet	a.苏联的，苏维埃的
space	n.空间；余地
Spanish	a.,n.西班牙的，西班牙人的；西班牙语
spare	a.&amp;v.多余的，备用的；节约，抽出(时间)
spark	n.火花，火星 vi.发火花 vt.激发，引起
speak	v.说话，讲
speaker	n.说话者，演讲者；扬声器
special	a.专门的，特殊的
specialist	n.专家；专门人才
specialize	vi.专门研究；专营(in)
specialty	n.专业
species	n.物种
specific	a.特有的，特定的；具体的，明确的
specifically	ad.特别，专门
specify	vt.明确说明，具体指定
spectacular	a.壮观的；惊人的
spectrum	n.光谱；波谱
speculate	vi.思索；推测vt.投机；思索，推测
speculation	n.guess
speech	n.演说
speed	Speed 《生死时速》(电影名) , n.速度,快 v.迅速,前进,急行;加速,使加速
spell	n.魅力 v.拼写
spend	vt.度过
sphere	n.范围，领域
spill	vt./vi.使溢出，使散落；溢出
spin	v.&amp;n.旋转，自转
spine	n.脊柱；脊椎
spirit	n.精神；妖精 v.鼓励
spiritual	adj.精神(上)的，心灵的
spit	vt.吐出
spite	n.虽然，不顾，尽管
split	vi.撕裂；分裂 vt.劈开 n.分裂，裂口
spokesman	n.发言人；代言人
sponsor	vt.发起，主办；资助 n.发起者，资助人
spoon	n.调羹
sport	n.运动
